citing_assignee_organization,cpc_subclass_title,citation_count
KONINKLIJKE PHILIPS N.V.,"Recording or reproducing by optical means, e.g. recording using a thermal beam of optical radiation ; by modifying optical properties or the physical structure; , reproducing using an optical beam at lower power ; by sensing optical properties; Record carriers therefor -Recording, reproducing or erasing methods; Read, write or erase circuits therefor -Reproducing",1
"KORENS CO., LTD.","Engine-pertinent apparatus for adding exhaust gases to combustion-air, main fuel or fuel-air mixture, e.g. by exhaust gas recirculation [EGR] systems-Arrangement or layout of EGR passages, e.g. in relation to specific engine parts or for incorporation of accessories-with coolers in the recirculation passage-Constructional details of the coolers, e.g. pipes, plates, ribs, insulation or materials-Liquid-cooled heat exchangers",1
KTI Hydraulics Inc.,Servomotor systems without provision for follow-up action; ; Circuits therefor-Systems with load-holding valves,1
KUKA Roboter GmbH,"Programme-controlled manipulators-Programme controls -characterised by safety, monitoring, diagnostic",1
KUKA Roboter GmbH,Programme-controlled manipulators-Programme controls -characterised by the tasks executed-Dual arm manipulator; Coordination of several manipulators,1
KYOCERA CORPORATION,"Control arrangements or circuits, of interest only in connection with visual indicators other than cathode-ray tubes-for presentation of an assembly of a number of characters, e.g. a page, by composing the assembly by combination of individual elements arranged in a matrix ; no fixed position being assigned to or needed to be assigned to the individual characters or partial characters-using controlled light sources-using electroluminescent panels-semiconductive, e.g. using light-emitting diodes [LED]-organic, e.g. using organic light-emitting diodes [OLED]-using an active matrix-with pixel circuitry controlling the current through the light-emitting element",1
KYOCERA CORPORATION,"Details of transmission systems, not covered by a single one of groups H04B3/00 - H04B13/00; Details of transmission systems not characterised by the medium used for transmission-Receivers-Circuits-Input circuits, e.g. for coupling to an antenna or a transmission line",1
KYOCERA CORPORATION,Traffic regulation in packet switching networks -Flow control or congestion control-Congestion avoidance or recovery,1
Kabushiki Kaisha Meikiseisakusho,"Compression moulding, i.e. applying external pressure to flow the moulding material; Apparatus therefor -of articles of definite length, i.e. discrete articles -using movable moulds",1
Kabushiki Kaisha Toyoda Jidoshokki,"Heating, cooling or ventilating ; [HVAC];  devices -Cooling devices -using compression -characterised by the compressor driving arrangements, e.g. clutches, transmissions or multiple drives",1
Kapsch TrafficCom AG,"Details of systems according to groups G01S13/00, G01S15/00, G01S17/00-of systems according to group G01S13/00-using analysis of echo signal for target characterisation; Target signature; Target cross-section-Identification of targets based on measurements of movement associated with the target",1
Kapsch TrafficCom AG,Image analysis-Analysis of motion,1
Kapsch TrafficCom AG,"Traffic control systems for road vehicles -Anti-collision systems -Centralised systems, e.g. external to vehicles",1
"Key Safety Systems, Inc.","Arrangements or fittings on vehicles for protecting or preventing injuries to occupants or pedestrians in case of accidents or other traffic risks -Electrical circuits for triggering ; passive;  safety arrangements, ; e.g. airbags, safety belt tighteners,;  in case of vehicle accidents or impending vehicle accidents -including arrangements for providing electric power to safety arrangements ; or their actuating means, e.g. to pyrotechnic fuses or electro-mechanic valves-Diagnostic or recording means therefor",1
Kia Motors Corporation,"Arrangement in connection with fuel supply of combustion engines ; or other fuel consuming energy converters, e.g. fuel cells; Mounting or construction of fuel tanks -Fuel tanks",1
Kia Motors Corporation,"Brake-action initiating means-for automatic initiation; for initiation not subject to will of driver or passenger -initiated by contact of vehicle, e.g. bumper, with an external object, e.g. another vehicle ; , or by means of contactless obstacle detectors mounted on the vehicle",1
Kia Motors Corporation,"Heating, cooling or ventilating ; [HVAC];  devices -Air-conditioning devices using the Peltier effect",1
Kia Motors Corporation,"Multiple-way valves, e.g. mixing valves; Pipe fittings incorporating such valves-with all movable sealing faces moving as one unit-comprising only taps or cocks-with cylindrical plug",1
Kia Motors Corporation,"Purposes of road vehicle drive control systems not related to the control of a particular sub-unit, e.g. of systems using conjoint control of vehicle sub-units ; , or advanced driver assistance systems for ensuring comfort, stability and safety or drive control systems for propelling or retarding the vehicle -Active safety systems;  predicting or avoiding probable or impending collision ; or attempting to minimise its consequences-Predicting travel path or likelihood of collision-the prediction being responsive to vehicle dynamic parameters",1
"Knowles Electronics, LLC","Details of transducers, ; loudspeakers or microphones-Arrangements for obtaining desired frequency or directional characteristics -for obtaining desired frequency characteristic only -Transducer mountings or enclosures modified by provision of mechanical or acoustic impedances, e.g. resonator, damping means -Reduction of undesired resonances, i.e. standing waves within enclosure, or of undesired vibrations, i.e. of the enclosure itself-Mountings or supports for transducers",1
